Automation License Manager;V6.2 + Upd3;06.02.00.03_00.00.00.09;K6.2.0.3;
S7-PLCSIM Professional 2021 SR3;V5.4 + SP8 + Upd3;V05.04.08.03_00.16.00.01;K5.4.8.3;
SIMATIC S7-Block Privacy;V1.0 + SP6;K1.0.6.0_4.1.0.1;K1.0.6.0;
SIMATIC S7-GRAPH Professional 2021 SR3;V5.7 + SP1;K5.7.1.0_5.1.0.1;K5.7.1.0;
SIMATIC S7-SCL Professional 2021 SR3;V5.7 + SP3;K5.7.3.0_6.1.0.2;K5.7.3.0;
STEP 7;V5.7 + SP3;K5.7.3.0_15.1.0.2;K5.7.3.0;
SIMATIC S7-Web2PLC;V1.0 + SP6;K1.0.6.0_3.1.0.1;K1.0.6.0;
Automation Access Control Component;5.0;K05.01.01.02_90.01.00.77;---;
SIMATIC Colour Editor;5.2.5.0;K5.2.5.0_1.1.0.1;---;
License Logon Interface;5.0;05.00.00.00_01.04.00.01;---;
SIMATIC Version View;1.8.0.0;V1.8.0.0_3.1.0.1;---;
SIMATIC Common Services;5.3.17.0;K5.3.17.0_1.1.0.1;---;
SIMATIC Device Drivers WoW;29.4;29.04.01.00_01.03.00.20;---;
SIMATIC Event Database;5.7;05.07.02.03_01.01.00.01;---;
SIMATIC GRAPH-Visualisierung;5.2.4.0;K5.2.4.0_1.1.0.1;---;
SIMATIC GSD CONTROL;3.5.7.0;K3.5.7.0_2.1.0.1;---;
SIMATIC GSD Interpreter;3.2.0.0;V3.2.0.0_2.1.0.1;---;
SIMATIC Interface Editor;5.5.0.0;V5.5.0.0_3.1.0.1;---;
SIMATIC Extended Interfaces;5.7.0.0;V5.7.0.0_5.1.0.1;---;
SIMATIC LanguageSupportTool;5.8.5.0;K5.8.5.0_2.1.0.1;---;
SIMATIC Condition Editor;5.6.2.0;K5.6.2.0_1.1.0.1;---;
SIMATIC NCM;5.7.3.0;K5.7.3.0_15.1.0.2;---;
SIMATIC Process Diagnosis Base;5.7.3.0;K5.7.3.0_5.1.0.1;---;
SIMATIC Process Diagnosis Database;5.7.3.0;K5.7.3.0_5.1.0.1;---;
SIMATIC DIAGNOSTIC REPEATER GUI CTRL;5.2.4.0;K5.2.4.0_2.1.0.1;---;
SIMATIC Grid Control;3.1.1.0;K3.1.1.0_1.1.0.1;---;
SIMATIC S7-Status-OCX;5.4.0.0;V5.4.0.0_4.1.0.1;---;
SIMATIC Technological Parameter Assignment;5.4.0.0;V5.4.0.0_1.1.0.1;---;
SIMATIC X-Ref Control;5.3.0.0;V5.3.0.0_4.1.0.1;---;
SIMATIC STEP 7 Help Viewer;2.0.1.0;K2.0.1.0_2.1.0.1;---;
SIMATIC SCL Compiler;5.7.3.0;K5.7.3.0_1.1.0.1;---;
